DATE,TIME,NB_ JUNCTIONS,NB_speed,NB_traffic_conditions,SB_JUNCTIONS,SB_speed,SB_traffic_conditions,DAYS
22/02/2022,3,J29A - J30,52,Roadworks,J30 - J29A,59,None,Tuesday
22/02/2022,3,J29 - J29A,67,Roadworks,J29A - J29,56,None,Tuesday
22/02/2022,3,J28 - J29,62,Roadworks,J29 - J28,67,None,Tuesday
22/02/2022,3,J27 - J28,70,None,J28 - J27,67,None,Tuesday
22/02/2022,3,J26 - J27,70,None,J27 - J26,62,None,Tuesday
22/02/2022,3,J25 - J26,69,None,J26 - J25,60,None,Tuesday
22/02/2022,3,J24A -J25,69,None,J25 - J24A,63,Roadworks,Tuesday
22/02/2022,3,J24 - J24A,69,None,J24A - J24,62,None,Tuesday
22/02/2022,3,J23A - J24,69,None,J24 - J23A,31,Roadworks,Tuesday
22/02/2022,3,J23 - J23A,23,Congestion,J23A - J23,65,Roadworks,Tuesday
22/02/2022,3,J22 - J23,63,None,J23 - J22,63,Roadworks,Tuesday
22/02/2022,3,J21A - J22,60,None,J22 - J21A,62,None,Tuesday
22/02/2022,3,J21- J21A,59,None,J21A - J21,57,Roadworks,Tuesday
22/02/2022,3,J20 - J21,58,Roadworks,J21 - J20,60,Roadworks,Tuesday
22/02/2022,3,J19 - J20,62,None,J20 - J19,69,None,Tuesday
22/02/2022,3,J18 - J19,64,None,J19 - J18,68,None,Tuesday
22/02/2022,3,J17 - J18,58,None,J18 - J17,69,None,Tuesday
22/02/2022,3,J16 - J17,52,Incident,J17 - J16,64,None,Tuesday
22/02/2022,3,J15A - J16,55,None,J16 - J15A,58,None,Tuesday
22/02/2022,3,J15 - J15A,55,None,J15A - J15,58,Roadworks,Tuesday
22/02/2022,3,J14 - J15,2,Roadworks,J15 - J14,58,Roadworks,Tuesday
22/02/2022,3,J13 - J14,38,Roadworks,J14 - J13,69,Roadworks,Tuesday
22/02/2022,3,J12 - J13,56,Roadworks,J13 - J12,53,Roadworks,Tuesday
22/02/2022,3,J11A -  J12,68,Roadworks,J12 - J11A,63,None,Tuesday
22/02/2022,3,J11 - J11A,64,None,J11A - J11,59,None,Tuesday
22/02/2022,3,J10 - J11,63,None,J11 - J10,62,None,Tuesday
22/02/2022,3,J9 - J10,62,None,J10 - J9,61,None,Tuesday
22/02/2022,3,J8 -J9,64,None,J9 - J8,58,None,Tuesday
22/02/2022,3,J7 - J8,58,None,J8 - J7,53,Roadworks,Tuesday
22/02/2022,3,J6A -  J7,62,Roadworks,J7 - J6A,63,None,Tuesday
22/02/2022,3,J6 - J6A,57,None,J6A - J6,70,None,Tuesday
22/02/2022,3,J5 - J6,63,None,J6 - J5,70,None,Tuesday
22/02/2022,3,J4 - J5,54,Roadworks,J5 - J4,58,Roadworks,Tuesday
22/02/2022,3,J2 - J4,62,None,J4 - J2,65,Roadworks,Tuesday
22/02/2022,3,J1 - J2,59,Roadworks,J2 - J1,65,Roadworks,Tuesday
22/02/2022,6,J47- J48,69,None,J48 - J47,70,None,Tuesday
22/02/2022,6,J46 - J47,68,None,J47 - J46,70,None,Tuesday
22/02/2022,6,J45 -J46,68,None,J46 - J45,68,None,Tuesday
22/02/2022,6,J43|44 - J45,68,None,J45 - J43|44,69,None,Tuesday
